,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
300,35-44,23.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat trust,Favorable
301,45-54,30.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Very unfavorable
302,45-54,27.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
303,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,Neither good or bad,Highly distrust,Indifferent
304,35-44,13.0,Staff/Lead Developer,Monthly,Neither good or bad,Somewhat trust,Very favorable
305,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
306,45-54,21.0,Distinguished Engineer/Fellow,Weekly,Very poor,Neither trust nor distrust,Favorable
307,25-34,11.0,Staff/Lead Developer,Monthly,Very poor,Somewhat distrust,Indifferent
308,55-64,35.0,Veteran/Executive,Daily,Neither good or bad,Neither trust nor distrust,Favorable
309,35-44,10.0,Senior Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Favorable
310,45-54,28.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
311,35-44,15.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Indifferent
312,18-24,2.0,Junior Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
313,25-34,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unsure
314,18-24,6.0,Mid-Level Developer,Daily,"Good, but not great",Highly distrust,Unfavorable
315,25-34,9.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
316,35-44,20.0,Principal,Daily,Very well,Highly trust,Very favorable
317,25-34,3.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Favorable
318,35-44,14.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Very favorable
319,18-24,6.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
320,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
321,18-24,2.0,Junior Developer,Weekly,Bad,Somewhat distrust,Indifferent
322,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
323,35-44,16.0,Principal,Daily,Very poor,Somewhat trust,Very favorable
324,35-44,24.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
325,35-44,10.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Unsure
326,25-34,8.0,Senior Developer,Monthly,Bad,Somewhat distrust,Indifferent
327,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
328,25-34,11.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
329,35-44,16.0,Principal,I don't plan to use AI,Very poor,Somewhat distrust,Unfavorable
330,25-34,3.0,Junior Developer,Weekly,Very poor,Somewhat distrust,Indifferent
331,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
332,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
333,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
334,45-54,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
335,55-64,43.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
336,45-54,20.0,Principal,Daily,Bad,Neither trust nor distrust,Favorable
337,35-44,15.0,Staff/Lead Developer,Weekly,Bad,Somewhat distrust,Favorable
338,55-64,28.0,Distinguished Engineer/Fellow,I plan to use AI soon,"Good, but not great",Somewhat trust,Very favorable
339,25-34,2.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
340,25-34,6.0,Mid-Level Developer,I plan to use AI soon,Bad,Somewhat distrust,Indifferent
341,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
342,25-34,12.0,Staff/Lead Developer,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
343,35-44,25.0,Distinguished Engineer/Fellow,Weekly,Very poor,Somewhat distrust,Favorable
344,55-64,38.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
345,55-64,20.0,Principal,Weekly,Bad,Somewhat trust,Favorable
346,25-34,8.0,Senior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
347,55-64,38.0,Veteran/Executive,Monthly,Bad,Somewhat distrust,Favorable
348,18-24,3.0,Junior Developer,Weekly,Bad,Highly distrust,Favorable
349,25-34,11.0,Staff/Lead Developer,Daily,Bad,Somewhat trust,Very favorable
350,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
351,25-34,4.0,Mid-Level Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
352,55-64,40.0,Veteran/Executive,I don't plan to use AI,Very poor,Somewhat distrust,Very unfavorable
353,25-34,11.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
354,45-54,29.0,Distinguished Engineer/Fellow,Monthly,Bad,Highly distrust,Indifferent
355,35-44,13.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
356,35-44,19.0,Principal,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
357,25-34,3.0,Junior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
358,25-34,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
359,25-34,10.0,Senior Developer,Daily,Bad,Somewhat distrust,Very favorable
360,25-34,7.0,Senior Developer,Daily,"Good, but not great",Highly trust,Very favorable
361,45-54,35.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
362,35-44,9.0,Senior Developer,Weekly,"Good, but not great",Somewhat distrust,Very favorable
363,45-54,26.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
364,35-44,15.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Indifferent
365,55-64,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Favorable
366,18-24,1.0,Junior Developer,Daily,Very well,Somewhat trust,Very favorable
367,25-34,9.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
368,18-24,2.0,Junior Developer,Daily,Very poor,Highly distrust,Very favorable
369,45-54,27.0,Distinguished Engineer/Fellow,Daily,I don't use AI for complex tasks,Highly distrust,Indifferent
370,25-34,14.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Unfavorable
371,35-44,13.0,Staff/Lead Developer,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
372,25-34,7.0,Senior Developer,Weekly,Bad,Somewhat trust,Favorable
373,35-44,19.0,Principal,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
374,55-64,38.0,Veteran/Executive,Monthly,I don't use AI for complex tasks,Somewhat trust,Favorable
375,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
376,35-44,18.0,Principal,Daily,Neither good or bad,Somewhat distrust,Favorable
377,25-34,13.0,Staff/Lead Developer,I plan to use AI soon,I don't use AI for complex tasks,Highly distrust,Very unfavorable
378,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
379,25-34,10.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
380,55-64,38.0,Veteran/Executive,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
381,35-44,17.0,Principal,Weekly,Neither good or bad,Somewhat distrust,Indifferent
382,45-54,28.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
383,>=65,40.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Unsure
384,35-44,25.0,Distinguished Engineer/Fellow,Monthly,Bad,Highly distrust,Very unfavorable
385,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
386,35-44,14.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Very favorable
387,35-44,19.0,Principal,Monthly,"Good, but not great",Somewhat trust,Favorable
388,25-34,7.0,Senior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
389,25-34,11.0,Staff/Lead Developer,Daily,Very poor,Highly distrust,Favorable
390,35-44,22.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
391,35-44,15.0,Staff/Lead Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
392,25-34,6.0,Mid-Level Developer,Monthly,Very poor,Somewhat distrust,Indifferent
393,45-54,33.0,Veteran/Executive,Monthly,Bad,Highly distrust,Unfavorable
394,25-34,6.0,Mid-Level Developer,Weekly,Bad,Highly distrust,Unfavorable
395,25-34,7.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
396,25-34,12.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
397,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
398,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Neither trust nor distrust,Favorable
399,55-64,34.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
400,25-34,12.0,Staff/Lead Developer,Daily,Very poor,Neither trust nor distrust,Favorable
401,35-44,20.0,Principal,Daily,Bad,Somewhat distrust,Indifferent
402,55-64,40.0,Veteran/Executive,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
403,35-44,17.0,Principal,Daily,Bad,Somewhat trust,Very favorable
404,45-54,23.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Somewhat distrust,Favorable
405,25-34,8.0,Senior Developer,Weekly,Bad,Neither trust nor distrust,Favorable
406,>=65,46.0,Veteran/Executive,Weekly,Bad,Somewhat trust,Indifferent
407,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
408,>=65,49.0,Veteran/Executive,Monthly,"Good, but not great",Highly trust,Favorable
409,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
410,25-34,5.0,Mid-Level Developer,Daily,Very poor,Somewhat trust,Favorable
411,35-44,22.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Favorable
412,45-54,31.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
413,35-44,6.0,Mid-Level Developer,Monthly,I don't use AI for complex tasks,Highly distrust,Very unfavorable
414,18-24,1.0,Junior Developer,I plan to use AI soon,"Good, but not great",Somewhat trust,Indifferent
415,35-44,10.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
416,18-24,3.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
417,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat distrust,Indifferent
418,45-54,26.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
419,18-24,3.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
420,25-34,9.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
421,25-34,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
422,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
423,35-44,14.0,Staff/Lead Developer,Daily,I don't use AI for complex tasks,Neither trust nor distrust,Very favorable
424,>=65,56.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
425,35-44,25.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Very favorable
426,25-34,3.0,Junior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
427,18-24,1.0,Junior Developer,Daily,"Good, but not great",Somewhat distrust,Indifferent
428,25-34,8.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
429,35-44,23.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat distrust,Favorable
430,25-34,3.0,Junior Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
431,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Bad,Neither trust nor distrust,Favorable
432,18-24,9.0,Senior Developer,Monthly,"Good, but not great",Highly distrust,Very unfavorable
433,35-44,14.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Favorable
434,35-44,12.0,Staff/Lead Developer,Monthly,Very well,Highly trust,Unsure
435,35-44,12.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Very unfavorable
436,25-34,3.0,Junior Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
437,25-34,18.0,Principal,Daily,"Good, but not great",Highly distrust,Very favorable
438,45-54,15.0,Staff/Lead Developer,Weekly,Neither good or bad,Highly distrust,Favorable
439,25-34,10.0,Senior Developer,Monthly,Bad,Somewhat trust,Very favorable
440,25-34,10.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
441,45-54,6.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
442,25-34,7.0,Senior Developer,Daily,Very poor,Highly distrust,Very favorable
443,35-44,20.0,Principal,Daily,Neither good or bad,Neither trust nor distrust,Favorable
444,55-64,30.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
445,45-54,26.0,Distinguished Engineer/Fellow,Weekly,Very poor,Highly distrust,Unfavorable
446,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
447,25-34,12.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
448,25-34,12.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Favorable
449,18-24,1.0,Junior Developer,Weekly,Bad,Neither trust nor distrust,Indifferent
450,35-44,15.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Unfavorable
451,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
452,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,Very poor,Highly distrust,Indifferent
453,25-34,8.0,Senior Developer,Weekly,Bad,Somewhat distrust,Favorable
454,45-54,35.0,Veteran/Executive,Daily,Very poor,Somewhat distrust,Favorable
455,45-54,35.0,Veteran/Executive,Daily,Neither good or bad,Neither trust nor distrust,Favorable
456,25-34,7.0,Senior Developer,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
457,35-44,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat distrust,Indifferent
458,25-34,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
459,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Favorable
460,35-44,9.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
461,35-44,25.0,Distinguished Engineer/Fellow,Monthly,Very poor,Highly distrust,Very unfavorable
462,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
463,35-44,6.0,Mid-Level Developer,Daily,Very poor,Somewhat distrust,Favorable
464,35-44,7.0,Senior Developer,I plan to use AI soon,Neither good or bad,Somewhat trust,Very favorable
465,35-44,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
466,>=65,45.0,Veteran/Executive,I don't plan to use AI,"Good, but not great",Somewhat trust,Favorable
467,45-54,31.0,Veteran/Executive,Daily,Neither good or bad,Somewhat trust,Very favorable
468,18-24,1.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
469,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Somewhat distrust,Very unfavorable
470,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
471,55-64,37.0,Veteran/Executive,Weekly,Bad,Highly distrust,Favorable
472,25-34,11.0,Staff/Lead Developer,Daily,"Good, but not great",Highly trust,Favorable
473,45-54,29.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
474,18-24,1.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
475,55-64,33.0,Veteran/Executive,Monthly,Bad,Highly distrust,Unfavorable
476,25-34,4.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Favorable
477,25-34,8.0,Senior Developer,Monthly,Very poor,Highly distrust,Unfavorable
478,25-34,4.0,Mid-Level Developer,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
479,35-44,16.0,Principal,Daily,Bad,Somewhat trust,Very favorable
480,55-64,32.0,Veteran/Executive,Daily,"Good, but not great",Neither trust nor distrust,Indifferent
481,35-44,21.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
482,25-34,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
483,25-34,9.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
484,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
485,25-34,3.0,Junior Developer,I plan to use AI soon,Bad,Neither trust nor distrust,Favorable
486,45-54,18.0,Principal,Weekly,Bad,Neither trust nor distrust,Indifferent
487,35-44,24.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Favorable
488,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
489,25-34,5.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
490,45-54,30.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
491,>=65,47.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unsure
492,18-24,1.0,Junior Developer,Weekly,"Good, but not great",Somewhat distrust,Favorable
493,35-44,18.0,Principal,Weekly,Bad,Neither trust nor distrust,Favorable
